date,daily_confirmed
2021-01-01,1004
2021-01-02,788
2021-01-03,641
2021-01-04,985
2021-01-05,672
2021-01-06,809
2021-01-07,833
2021-01-08,632
2021-01-09,596
2021-01-10,631
2021-01-11,419
2021-01-12,508
2021-01-13,536
2021-01-14,496
2021-01-15,484
2021-01-16,547
2021-01-17,500
2021-01-18,366
2021-01-19,351
2021-01-20,373
2021-01-21,380
2021-01-22,314
2021-01-23,403
2021-01-24,369
2021-01-25,405
2021-01-26,334
2021-01-27,516
2021-01-28,479
2021-01-29,445
2021-01-30,421
2021-01-31,323
2021-02-01,285
2021-02-02,295
2021-02-03,433
2021-02-04,429
2021-02-05,351
2021-02-06,366
2021-02-07,325
2021-02-08,263
2021-02-09,273
2021-02-10,414
2021-02-11,467
2021-02-12,384
2021-02-13,345
2021-02-14,304
2021-02-15,322
2021-02-16,429
2021-02-17,590
2021-02-18,590
2021-02-19,533
2021-02-20,416
2021-02-21,391
2021-02-22,313
2021-02-23,329
2021-02-24,417
2021-02-25,368
2021-02-26,363
2021-02-27,405
2021-02-28,333
2021-03-01,338
2021-03-02,319
2021-03-03,426
2021-03-04,401
2021-03-05,381
2021-03-06,404
2021-03-07,399
2021-03-08,335
2021-03-09,427
2021-03-10,452
2021-03-11,444
2021-03-12,467
2021-03-13,474
2021-03-14,436
2021-03-15,367
2021-03-16,345
2021-03-17,452
2021-03-18,427
2021-03-19,441
2021-03-20,435
2021-03-21,437
2021-03-22,390
2021-03-23,328
2021-03-24,408
2021-03-25,416
2021-03-26,466
2021-03-27,490
2021-03-28,462
2021-03-29,369
2021-03-30,429
2021-03-31,491
2021-04-01,534
2021-04-02,532
2021-04-03,521
2021-04-04,514
2021-04-05,448
2021-04-06,459
2021-04-07,653
2021-04-08,674
2021-04-09,643
2021-04-10,661
2021-04-11,593
2021-04-12,559
2021-04-13,527
2021-04-14,713
2021-04-15,669
2021-04-16,652
2021-04-17,630
2021-04-18,649
2021-04-19,512
2021-04-20,529
2021-04-21,692
2021-04-22,715
2021-04-23,758
2021-04-24,760
2021-04-25,603
2021-04-26,469
2021-04-27,477
2021-04-28,754
2021-04-29,650
2021-04-30,642
2021-05-01,593
2021-05-02,585
2021-05-03,465
2021-05-04,514
2021-05-05,651
2021-05-06,562
2021-05-07,509
2021-05-08,672
2021-05-09,522
