V925,V284,V248,V499,V456,V121,V683,V615,V813,V802,V432,V913,V149,V145,V936,V164,V326,V198,V543,V598,V461,V298,V748,V522,V857,V550,V167,V866,V763,V559,V302,V347,V66,V828,V581,V105,V972,V340,V91,V307,V292,V333,V231,V718,V816,V849,V59,V178,V348,V476,V992,V159,V269,V291,V241,V996,V578,V702,V515,V355,V50,V225,V781,V60,V896,V526,V521,V147,V910,V563,V756,V434,V971,V316,V914,V475,V997,V444,V995,V637,V438,V388,V172,V174,V796,V312,V76,V363,V382,V446,V161,V570,V195,V650,V381,V389,V74,V1000,V101,V549
573,625,545,527,532,527,585,631,584,492,557,567,573,535,567,557,530,534,527,585,503,631,595,547,544,567,541,563,554,605,540,526,579,580,562,569,531,514,592,529,534,502,629,550,587,569,546,539,529,580,555,565,546,571,481,551,528,539,544,587,631,461,607,559,567,611,578,531,552,550,592,509,589,541,557,571,511,546,548,532,547,562,547,557,561,575,573,586,538,540,596,524,581,586,595,501,578,582,520,599
617.262950076992,615.755056713397,607.221490695932,564.888269557063,552.359720271112,589.797384195692,621.822957416397,648.069331237159,667.900048443973,545.900829428522,560.607598801723,591.773775164186,629.963776062993,616.375500100429,604.287966160928,597.060726312654,583.784929048462,600.558398657859,557.960745788226,621.813067125011,554.043937279573,623.633939381517,572.314748479017,574.213871623713,593.035887504662,592.141789227264,608.551377814143,614.308178207985,586.866185936485,627.57473859806,580.619637857273,597.895338095228,613.27514142332,566.228138368691,586.955727208887,641.726169311508,599.07407331759,576.73272721365,579.135934168322,597.121789148967,585.733973900825,591.65939956351,640.103028199742,589.716691983667,616.847032683988,580.291572775182,583.071180274626,572.086102385007,597.168996040141,607.841414195471,542.983034578159,581.830181499662,593.146848757939,580.167332449944,533.742837522445,581.418833056948,572.830848763353,594.290248071085,587.995761216231,616.800318821709,648.008862024083,547.682896660712,604.180100580121,618.568244256746,592.210616330208,585.356786799735,598.865314029622,599.056338697855,547.610614719907,612.670358301984,614.132580792079,573.968165799834,611.250821715774,578.827829477308,563.584988562158,621.365041555007,567.798060194287,583.612443430759,578.868905388611,572.465469408941,581.912808503505,586.893156968611,620.880898374448,560.624005704627,619.731437593931,574.317393968896,595.509754746561,593.781490532589,572.725122838221,592.065732129226,619.970937234269,571.942916635292,597.685447338463,590.695735727449,572.322474172243,546.304420725595,602.544169383944,607.402929800619,536.388220118463,654.022154385462
608.71403560598,613.262217683058,604.151644106077,565.249708098787,539.449841888887,584.429511714158,609.854711049986,646.927805506266,648.235438577808,535.335182230919,558.211930693327,585.664235325115,621.53248405333,600.155445067571,597.685307245908,592.458083560124,582.818998707687,604.280919179908,561.085025527918,609.55468746502,550.769248183544,617.107591581678,571.202514806858,582.171556377279,587.680100642843,583.02405779446,600.742262931683,610.439125019518,578.667758154061,618.567202855466,583.055499818972,602.891694573879,601.386954565345,558.360282155727,587.8860705867,650.782304714775,588.082493831664,585.95367214097,573.99934349302,594.405488536114,573.466035326168,587.493111918413,629.472165616555,590.388557684079,617.825122244499,592.043914102893,574.698479892328,565.747264843861,595.900051886712,589.156917116008,551.662612667148,584.707708282151,593.448019181156,588.77647199768,540.507681893423,569.175289962918,562.550098729454,596.329638541762,585.169908728603,616.332868949809,644.978771999363,536.611794807002,600.272631882452,618.366868571178,585.210659537849,589.989437524596,592.666137781015,587.535114914124,548.096752887125,606.34756157685,612.773544397843,569.343836388912,608.605401475329,571.042714072705,564.383678374388,605.473363018178,571.749393600811,579.836413015916,568.846041320888,579.016976175916,571.419409571964,585.891111112862,621.025918420125,558.688291616758,621.374157018662,576.522769171329,599.358668122746,593.919367513377,574.373941773358,584.027882368797,616.587126986457,569.555503545475,600.41762875604,587.044418426607,571.504088718913,549.174333287362,600.776441283672,610.765000335231,549.745228756877,657.103609399119
602.53232751462,608.204852974146,598.943534261732,567.183163069157,528.532943031283,582.062105737846,600.29503275224,643.728170277185,632.876158585226,527.831262218555,559.767218119019,578.092729875158,611.107965686045,585.811228029121,594.704941840276,589.484702812583,574.333005548411,603.161312644644,556.608827137252,599.437464536137,548.394223409537,611.727120073225,564.898029081921,584.824533922562,578.669412502658,575.599330532114,589.139302649603,606.100348671909,571.108907165548,609.288651024596,583.331322389,604.806070039785,590.745330597388,551.263443485974,585.110262081716,650.331403010078,580.320195432802,590.829665957689,568.92402222428,587.231362370593,561.331810461409,583.234580033343,617.145060964066,583.985907353024,615.320246229194,594.24020686624,568.447832486834,561.032861088402,593.075363463398,576.05825817345,556.544495874611,582.0941974046,595.250576696064,590.505749937676,543.490774271378,559.063631291216,556.135498113682,596.3118797112,579.71379121623,609.1554318845,635.147894366421,533.290738733338,596.392872953169,614.46982460778,584.658582686852,588.969297722116,585.844889979271,578.520273127119,548.663608670457,599.690410547981,604.635483029128,564.616029123184,606.267316946454,566.640184727466,565.244713237851,594.480792847491,570.64296009927,579.458532361528,561.32290061407,581.374107696367,562.710971208311,577.030344833142,620.061918781427,560.471394915606,618.992163282391,577.676191661754,599.447661287683,592.920037021677,572.364464234014,573.613754990541,613.161912578649,564.917553235485,598.869702160916,584.665649651272,567.640428808726,548.292373305896,597.047737893003,606.71580601462,557.518197418832,657.397599331635
594.927558377024,598.855569111559,592.003648292614,570.154865457254,517.936354227423,579.997134930314,591.935641047626,641.557111266692,620.72511393885,526.45389895372,562.484716391628,569.087595273201,599.439849287655,569.713986277729,592.898162253057,588.810695543949,562.972103783616,599.23181600903,548.246111373071,590.641671091543,543.934500070619,606.073366227666,556.977604347352,584.681103657951,566.435060181891,566.19833341842,576.977379217254,599.447430357314,562.687972870341,599.993549120101,580.650246601141,603.375115699637,583.041100478012,545.789581917112,580.859843000804,641.620330058845,573.108153667983,592.743143888054,564.245744397485,576.100018425836,549.444178852957,578.052516115904,604.003443329021,574.820385517643,611.326098540787,590.044213589634,562.956352637238,555.514416628031,587.475571176873,564.86905194204,557.732803888006,575.033619840475,596.569661340818,585.198662086579,542.76506224931,549.562585093499,552.283520534457,593.36854404658,571.423281313751,597.858259108859,621.178710696209,534.058668557506,592.109996905091,609.319431820001,586.472744090411,585.549183643467,577.144860203053,570.771536925529,549.600588286411,592.685446509425,593.007085619833,561.267241709911,600.516196697963,563.56745730297,563.828772632903,584.494724792645,565.448120154984,581.875656627565,553.486375402639,579.080159339011,556.62383268734,564.177775136432,615.7371721214,561.248138309976,612.222657237199,576.234349114011,595.377377155014,590.131296323042,567.545832477504,562.220401169661,609.475011141207,558.125722035935,593.024751702298,584.610773594781,565.759289141084,541.965662303369,592.388736308993,597.561297316453,559.724990320907,655.066783488742
583.042400115911,584.123530173354,583.294345248656,571.000865488607,507.146440188108,576.050751398089,583.993036707353,639.627971798634,610.469064575792,530.910310994081,564.12534332553,558.321199082276,585.804212419237,552.108659524593,589.325802106432,588.73062873367,551.682329726094,591.555245029264,538.047152253344,581.672039998554,536.541031984445,598.336457165296,549.09819348157,582.652267577468,552.233069694146,553.626001406316,565.663165387029,589.50708609242,551.644013358571,590.873473127662,574.917746655717,599.019859790736,576.68247279081,542.264614689634,574.414496902469,625.593916882855,564.902613490043,589.467004572692,559.852715607983,562.65711776341,538.579750807252,572.14586872784,589.026891982327,564.60636655072,605.116250944441,582.699069110981,556.97234896468,549.459048762942,578.395511537774,552.87039138012,556.75888603001,565.150212436683,595.854497840984,574.240060899924,538.695240745689,540.544818222907,549.337455492373,586.463985142327,560.905065928942,585.349661887369,603.611984119375,534.748756347359,585.494311800116,603.942800924192,586.98346101824,579.804336664284,565.899355520934,563.124985609854,548.612391209413,584.672684828259,579.032075094742,558.300429403552,591.100801979874,562.055023370199,559.271501684549,572.233112993715,556.93006072338,584.45052795854,544.135280449491,572.306171743848,552.586168558741,549.717370720829,607.195340476405,560.052393239532,601.116434675566,572.213904954638,585.498012574467,585.645497857725,560.942185342237,549.465330861378,603.867998141025,549.461991794311,583.367278589525,583.362120048682,564.508080536329,530.912413138485,585.039499696511,584.924169005839,557.923534349322,649.204566219863
566.313883098404,565.371991825873,572.872636890139,566.600314166783,497.160599640191,567.990518477622,576.05912197061,636.608817020024,600.473130530427,539.097935360733,561.430628642915,546.096117461625,570.261048182935,534.113645104358,581.189918501013,586.384035845708,541.337030713659,578.930278867258,526.124607926555,572.087028768337,527.11204111778,586.77475803541,542.878225244334,578.471559044148,536.630621211491,538.85495920708,556.03092334352,576.505426455014,538.119579102559,582.09132486503,566.875883224634,591.466513233783,569.342131847632,542.493852918085,564.804472910404,604.003920803895,556.524509947261,579.636229251459,555.196224828634,548.130718476443,529.066830520083,565.127591923338,572.496774334281,553.099217581325,594.51910332328,574.138117939777,548.693567047041,544.693607525263,566.970160799133,538.202500031992,555.720560395715,552.967519570281,591.720908147744,559.947763101868,531.327674020261,533.369729075403,545.634156896781,575.413386475343,549.552184631261,574.019647905009,583.18366157785,532.941785582221,575.752253129689,598.054515388944,583.071828441088,572.196571636954,552.450224863129,553.768819529202,543.382270270303,575.367021123771,563.076057817017,553.09780889717,580.058472181867,562.954151829552,551.40450430831,557.890918633034,545.949543493988,584.386052106773,533.112303070616,562.30486604236,549.895340728284,533.828572146054,595.328680805454,555.947601133526,587.159073344032,566.319773016106,569.680207195773,578.256954057395,553.681857768171,535.688758052555,594.44374658569,539.279280990554,571.471582671326,577.931689118807,562.56541656078,516.949744419555,573.794934198483,570.78113836366,553.967758958013,638.755740080426
546.082567026309,545.196398417625,561.215380105536,556.44704347975,489.210830889512,554.253429284162,567.19619604133,630.734474040325,589.918142195953,547.109957259682,554.231816086001,532.687886667048,553.30897313082,517.444202279806,568.538312245759,579.618485212855,532.042999209586,561.916324269114,513.809315609723,561.788064586473,517.229265371403,571.698509939289,537.924880123628,571.277607988656,520.095102149175,522.857293506738,547.488911987947,562.216424956488,523.537536316831,573.006629258115,559.253936781775,581.371614013797,560.175029015849,545.714491233767,552.527148535091,578.344551155025,548.09997700556,564.7655426523,548.886001777873,533.29682137847,521.137781498985,557.121204346259,555.982935626445,539.095672118852,579.816997303578,564.137935300716,537.30884918509,541.543152040596,554.570007394327,521.102636441035,555.553031726242,539.501100441572,583.115332542472,544.57623104096,520.208341145121,528.371597971445,539.741704185191,560.049123500339,538.612226973056,564.080454935093,561.015480067421,527.558421186138,562.475560382718,592.048310085625,574.341405346597,563.724059403866,537.075817202091,541.235118627957,534.167419684622,565.308250667737,545.146575945502,545.294191144228,568.788466917891,564.414967832948,540.776029955671,543.077180660267,534.202713661762,580.914196438183,520.758998105494,550.437428032622,546.371901922166,515.647777932302,581.101988573544,549.017853891292,571.782081153125,559.278783804087,549.090724967834,567.743977563465,547.069772821137,522.253384623476,581.122411849238,528.325256567223,558.042784311644,567.317044747399,559.617884651719,501.948314509707,559.252255565055,556.726323004452,548.980888952235,623.444343320215
525.189161180599,525.315457008592,549.218601067516,542.904281965674,483.428695861173,535.272764820713,555.902909691572,620.661786682146,578.227658716782,551.548189230523,543.913447888722,518.674539559655,535.043621408105,502.515696919539,553.01583524881,568.793302835676,524.45645758328,542.181235364197,502.983002241926,549.306132009087,506.560601243018,555.24150787132,533.18590829614,560.37749520716,502.758424511125,505.82383499079,539.588506955786,548.415160935494,508.941542302983,562.229689807545,553.955174158957,569.830216148768,549.556952640467,549.603913578481,538.142644310115,550.392253695772,538.454296506302,548.072639039325,539.539510862632,519.180675687974,514.71393058616,548.992395447043,542.176777652541,521.793496456826,562.665288660153,553.140088397569,523.584587179832,537.720846330594,541.590047852929,502.71790096469,554.412418233125,526.372162932718,570.364141428094,530.045219249874,505.535321890638,524.344575965255,529.9634197785,541.816681594927,528.781491823373,554.767896352085,538.689059552541,518.643969468273,545.867919488081,586.782800308205,562.319540867164,555.288942069112,520.041482741085,525.541325277021,522.774880268021,554.077667599562,525.926238876397,535.290273295769,557.747947129438,564.203590105585,527.670816488404,528.88720338753,522.442581476098,574.615445249871,508.0414523263,537.541249008179,540.458373581987,495.639541791997,565.134209597997,539.997920265302,555.480479990197,549.247141994904,525.153572598494,556.065010702641,540.935492251564,510.52422058846,564.62179759647,517.172152456094,543.629998536535,552.220781091259,554.496217647482,486.944024027057,543.243785186523,543.023354955671,543.485441459716,604.411741987401
506.42006721265,507.044322279402,537.367064045517,529.010895769993,479.109965320466,513.658310389598,541.67321534083,606.665699498598,565.584103634869,552.173086982281,531.226198266704,504.372666717089,516.083507016614,488.817549835385,535.917533618208,555.118785674079,518.46342594231,521.973196202965,494.780583725824,533.456493382642,494.365912709485,538.896920571302,527.909716661581,545.794693973179,484.151764908085,488.305508135821,532.276357147921,534.876544007354,495.39550686937,549.313405469785,548.834705231558,556.152988382978,538.438497182089,551.644166978121,522.940012192087,522.395331067416,528.438108896918,531.172365866876,526.827068601458,506.596626126631,508.956712976752,540.907482483259,532.358234109045,502.560945234233,545.307723851531,541.903614319881,509.097395336913,532.221050000342,529.150125575915,484.862831406641,550.16840460097,513.79219257384,555.469198241208,516.473019245022,488.470415275645,519.644004419096,516.360815041439,522.757207241873,519.306320872548,545.393884174856,516.949659792699,507.101690180979,527.577784354405,580.655584587371,547.85818045156,546.301639806548,502.443378618464,507.71873217464,510.653476625376,541.005886646738,507.37232181052,522.787307575518,546.837501027754,562.099270345272,512.281321062073,515.537990388467,510.248540689513,566.328711799103,496.085160382209,523.518831987024,532.849576084666,475.894320873803,547.407415669194,528.481799413043,538.437769594998,535.182448946965,500.337912678525,544.807421364472,534.088182855771,500.736035410768,545.641176015412,506.393191192549,528.861819290647,535.028515112939,546.082715314879,471.771224967702,528.119661620303,529.411953384402,536.930599912411,583.145021056026
