S,E,P,I,R,CE,CI,CR,A
48430578.1560012,215527.356574635,126976.328195938,115629.94587208,1111318.21335602,90769.1989693795,54099.0074049702,43701.1904042093,0
48387561.9061635,234798.355944383,135422.609950663,122459.657752226,1119787.47018916,102956.592267489,57409.085835153,46232.9240097077,0
48280870.1673735,270688.558754883,162208.221575146,141274.727283876,1144987.32501258,105022.94609692,69114.2951296468,52476.6549754233,0
48533865.4806886,151771.36313882,101370.204699002,101916.133390064,1111106.81808355,55107.6467726925,44834.3087412659,39483.9495435105,0
48427385.4782103,211516.096250442,132884.794739131,123321.453116767,1104923.17768343,79237.6305882416,57545.7222120779,46709.5933498515,0
48386556.7355881,228998.34344875,142302.648746596,131744.478350064,1110428.79386652,90668.6454083163,61643.3713233915,49861.874733898,0
48356033.0843637,246431.441485948,145122.539486922,128010.562898083,1124433.37176542,99738.788700517,61599.7734597443,47844.1359049063,0
48302865.7097714,267428.331284755,157922.110579402,138998.866263496,1132815.98210102,110165.420601334,67235.9380444275,51868.0897331161,0
48496276.4649175,187559.231997384,119604.107553167,111198.309766567,1085390.8857654,69642.8209413146,52073.399942246,42084.7518863498,0
48302190.2562658,277016.294314602,158523.552422966,137262.888020885,1125038.00897575,118902.692311847,66855.2579551062,51040.6754288343,0
48328179.0322421,291799.72823884,157288.907766882,132486.414333634,1090275.91741846,137798.706451823,65282.1166128838,48978.4203763356,0
48520195.5286343,149922.432062646,106527.08312815,109938.278474427,1113446.67770041,48326.9502012659,47820.0846513417,42797.0325806682,0
48473285.8664,180744.249961154,115878.96169779,112080.418310229,1118040.50363091,67083.2398793545,50536.9993728558,43003.319162031,0
48466197.8324063,181531.216909147,115581.33361186,114553.294897261,1122166.32217548,73420.0314645631,50618.8121571342,44287.8886087675,0
48250116.5795746,316867.437951294,174839.079998643,145732.139975761,1112474.76249959,138249.566831037,72678.5121198531,53599.5729773454,0
48483693.4911751,211757.316031918,120981.40244309,107822.901135227,1075773.88921457,94414.2336985974,51176.7945082176,40513.648177038,0
48412219.1530467,231762.868462208,135888.67349211,119607.648533488,1100551.65646544,95644.3355584761,57683.2083645544,44669.7417990294,0
48424074.1859652,206178.030014566,128934.09147517,120454.012809341,1120390.67973583,80671.5158994317,55932.9203313964,45720.1774229801,0
48412420.4373073,240549.62733732,135334.826217675,117580.278785059,1094145.83035262,106487.706852672,56826.6676428527,43839.7628952225,0
48318787.5235299,265301.213199099,150819.392922327,131309.591151485,1133810.27919725,116924.324290516,63596.5354418941,48939.7881633513,0
48452493.8937339,213224.161304696,128030.352853419,115572.336534488,1090709.25557336,87092.8828710285,54840.1963536772,43469.2119729025,0
48407137.7259449,243407.054263033,139852.683807495,118917.104474613,1090716.43150985,100212.441620371,58843.0892641535,43922.761602801,0
48334742.5519215,258884.791237403,152684.758462835,133660.086685561,1120056.81169269,104469.862979537,64841.2689550118,49801.7296382445,0
48405667.4884353,213360.303010677,135598.888405513,127666.64660075,1117736.67354777,83425.6260792254,59203.9350392495,48512.0696883922,0
48333162.2513524,258072.725840371,154918.168364057,138621.394243743,1115256.46019936,105054.049848129,66336.065024587,51969.7499676095,0
48039165.9475786,414591.35406664,214618.870310345,168676.565571007,1162978.2624733,194330.295762754,87353.426534047,60941.3677733215,0
48307756.5947497,292846.270199165,157987.629854072,132506.992413081,1108931.51278402,136077.808861309,65467.0739479599,48920.1320113477,0
48515279.385557,185376.571272723,115372.759557636,107929.573846137,1076071.70976653,73080.46007803,49983.5350373875,41001.6475388096,0
48217986.3861302,324941.731431702,179505.330789682,149469.549492997,1128128.00215533,143030.529094171,74739.8097340226,54927.9497900184,0
48387639.2313941,234333.468823775,139464.278534716,124014.706175397,1114577.31507213,95842.5594648879,59529.3608369802,46424.4304817789,0
48421395.4771998,209331.889452767,135821.396169001,127574.363336138,1105906.87384229,76525.5520331305,59467.0442570655,48389.0093651895,0
48523429.260975,159906.757791376,108192.900059226,108003.500284648,1100498.58088982,56463.2082493217,47994.2770072161,41708.3379030257,0
48351474.2815964,261185.755227129,148302.468778743,128130.528838202,1110937.96555962,114040.364867595,62443.3421908909,47629.6977140403,0
48427180.1595597,232364.304510512,131583.226593406,116124.749586613,1092778.55974979,106303.361206804,55614.0071646247,43486.7186391729,0
48290717.414981,275726.587241463,162506.085520902,143612.281919789,1127467.63033694,114138.290607497,69158.0970294137,53680.4830754545,0
48370945.5516107,238793.558453751,142812.868998625,128359.8514149,1119118.16952215,96137.135335494,60984.4529293523,48237.704939414,0
48360171.6926154,267327.656468842,153533.578880222,132666.135649084,1086329.93638646,112653.849895215,64730.2835100574,49291.2690027339,0
48492627.2887961,206279.296018259,125938.879574027,114042.322409461,1061143.21320228,80808.4548611701,54114.2761708891,42900.5788461012,0
48382566.7607837,249977.918925359,139113.104975059,121357.74028675,1107015.47502924,114267.073028786,58335.3800406427,45344.0429133574,0
48446149.0560865,185437.964907615,123249.434626738,116613.514036562,1128580.03034248,62502.377666537,54147.2732876497,44298.2305898052,0
48356868.6124545,242736.725329119,148934.556454029,134873.414360534,1116614.69140181,96174.0251306961,64196.8770582799,50696.9155478561,0
48539139.7093499,179641.836137234,111103.895703151,104232.076631885,1065911.48217777,71418.5426552153,48043.2981966685,39658.3633479645,0
48427905.3177409,201254.427460509,127645.465983834,124253.621255309,1118971.16755957,79379.1568512653,55705.2793796738,47781.5048850938,0
48272653.2098554,305175.436792058,163152.169065941,136686.449107218,1122362.73517938,145199.171326937,67521.8750471561,50466.3241632002,0
48112797.1105738,373893.213862879,202032.443240765,166143.780854734,1145162.45146775,172179.79366733,83719.7267603106,60845.6835120392,0
48330876.3956431,255491.478940188,154862.211286474,137640.279570831,1121159.63455939,101539.157741314,66443.1347153682,51436.1396788444,0
48454079.0376497,204102.21958863,121024.472488659,109831.818730893,1110992.45154209,84620.6888075961,51629.6605018066,41440.0797022586,0
48450038.1574395,209527.713175019,128254.336041123,118933.628100401,1093275.16524399,83670.0558152111,55249.8977270704,45107.9127273544,0
48402292.9096382,241940.80231546,139933.837435008,123517.847868833,1092344.60274243,103524.584374813,59261.1006295965,46217.949144416,0
48491871.0571608,189179.921584709,118363.159692327,112476.164518582,1088140.69704364,75755.9074578558,51452.6697271212,42934.3043852449,0
